minute,FatigueIndex,activityLabel
0,13.6660799827107,walk
0.0167833333333333,14.2463821574343,walk
0.0335666666666667,14.6314178944723,walk
0.05035,11.6483809972425,walk
0.0671333333333333,10.2103037659888,walk
0.0839166666666667,10.1176253780814,walk
0.1007,8.22558636097218,walk
0.117483333333333,5.61055638808414,walk
0.134266666666667,6.34669357987411,walk
0.15105,6.95624098712574,walk
0.167833333333333,6.75650979417971,walk
0.184616666666667,7.45250043422699,walk
0.2014,9.41224385280447,walk
0.218183333333333,10.4142063965151,walk
0.234966666666667,12.2340563545092,walk
0.25175,12.8909038193987,walk
0.268533333333333,12.6251470363977,walk
0.285316666666667,13.6760173654696,walk
0.3021,11.4095308106759,walk
0.318883333333333,9.18286175160679,walk
0.335666666666667,9.38941678372876,walk
0.35245,9.46002198909788,walk
0.369233333333333,7.53082436227344,walk
0.386016666666667,8.72868510799546,walk
0.4028,8.84431757267185,walk
0.419583333333333,7.3971292826064,walk
0.436366666666667,5.62957663820646,walk
0.45315,5.97656954677573,walk
0.469933333333333,6.53132513601408,walk
0.486716666666667,7.95918858429172,walk
0.5035,8.84826503545716,walk
0.520283247884115,11.1177935365128,walk
0.537066666666667,10.3755210306934,walk
0.55385,10.1374438369512,walk
0.570633333333333,10.2117159440538,walk
0.587416666666667,11.0011490866714,walk
0.6042,10.3852231406961,walk
0.620983333333333,10.772112113792,walk
0.637766666666667,10.4296122491247,walk
0.65455,11.041476665597,walk
0.671333333333333,11.2065717533698,walk
0.688116666666667,12.2447355600065,walk
0.7049,13.1245601688951,walk
0.721683333333333,13.9162561576355,walk
0.738466666666667,13.5995777621393,walk
0.75525,13.8106966924701,walk
0.772033333333333,14.4440534834623,walk
0.788816666666667,14.0218156228008,walk
0.8056,14.1004168245548,walk
0.822383333333333,15.0313430411953,walk
0.839166666666667,13.0784929356358,walk
0.85595,12.3653981486494,walk
0.872733333333333,12.2070589509013,walk
0.889516666666667,13.0593839657879,walk
0.9063,10.2811671087533,walk
0.923083333333333,10.4922860390841,walk
0.939866666666667,9.67476858117252,walk
0.95665,11.2053808260705,walk
0.973433333333333,11.2772695285011,walk
0.990216666666667,14.7865533481297,walk
1.007,17.5569209116007,walk
1.02378333333333,19.3772532885833,walk
1.04056666666667,18.7438964975911,walk
1.05735,18.3744383695123,walk
1.07413333333333,15.815189736372,walk
1.09091666666667,12.5698045796568,walk
1.1077,10.3530558111839,walk
1.12448333333333,8.74055900697059,walk
1.14126666666667,7.15410054133299,walk
1.15805,7.12247840675211,walk
1.17483333333333,8.47496885390557,walk
1.19161666666667,7.88760920701821,walk
1.2084,7.09491624049696,walk
1.22518333333333,5.79097626999537,walk
1.24196666666667,4.3557198570525,walk
1.25875,4.03012975621527,walk
1.27553333333333,5.39183903535534,walk
1.29231666666667,7.0239204175625,walk
1.3091,8.42112918842061,walk
1.32588333333333,9.19470375126483,walk
1.34266666666667,8.2076994694752,walk
1.35945,7.01111197656098,walk
1.37623333333333,6.64888771744045,walk
1.39301666666667,6.71702460298896,walk
1.4098,7.51588805283387,walk
1.42658333333333,9.74552048936286,walk
1.44336666666667,13.2289828398203,walk
1.46015,14.6282141503816,walk
1.47693333333333,14.9448925458778,walk
1.49371666666667,14.2587560223028,walk
1.5105,11.9892275212472,walk
1.52728341878255,8.69106263194933,walk
1.54406666666667,7.74102744546094,walk
1.56085,8.16326530612245,walk
1.57763333333333,10.0105559465165,walk
1.59441666666667,12.4384236453202,walk
1.6112,14.3912737508797,walk
1.62798333333333,15.6052076002815,walk
1.64476666666667,16.5024630541872,walk
1.66155,16.6608022519353,walk
1.67833333333333,17.0830401125968,walk
1.69511666666667,17.8747361013371,walk
1.7119,16.9247009148487,walk
1.72868333333333,15.2357494722027,walk
1.74546666666667,12.7551020408163,walk
1.76225,9.53553835327235,walk
1.77903333333333,7.16045038705137,walk
1.79581666666667,6.73821252638987,walk
1.8126,7.84658691062632,walk
1.82938333333333,10.1161154116819,walk
1.84616666666667,12.1745249824068,walk
1.86295,13.3356790992259,walk
1.87973333333333,13.652357494722,walk
1.89651666666667,12.8606615059817,walk
1.9133,13.1503816380664,walk
1.93008333333333,12.9920424403183,walk
1.94686666666667,12.0947869864126,walk
1.96365,11.1975315325069,walk
1.98043333333333,9.82525848535701,walk
1.99721666666667,6.4985570631531,walk
2.01400008544922,7.01402548728423,walk
2.03078333333333,5.41553136176572,walk
2.04756666666667,3.96177995830137,walk
2.06435,5.09597581170905,walk
2.08113333333333,7.23570164792259,walk
2.09791666666667,5.1896209788935,walk
2.1147,5.10138826501796,walk
2.13148333333333,5.35618109501355,walk
2.14826666666667,4.27930557623029,walk
2.16505,3.86765569497745,walk
2.18183333333333,3.75391698545776,walk
2.19861666666667,4.34727384296003,walk
2.2154,4.2857487934911,walk
2.23218333333333,4.70344605211087,walk
2.24896666666667,4.7456378052849,walk
2.26575,7.39280367877362,walk
2.28253333333333,9.59454804490186,walk
2.29931666666667,11.3300492610837,walk
2.3161,11.3828289936664,walk
2.33288333333333,10.2216748768473,walk
2.34966666666667,8.21604503870514,walk
2.36645,8.58885941644562,walk
2.38323333333333,8.24522275753803,walk
2.40001666666667,8.79884155253614,walk
2.4168,8.48216315704001,walk
2.43358333333333,7.07118497266281,walk
2.45036666666667,4.85107995452823,walk
2.46715,3.66410436853787,walk
2.48393333333333,2.4771287825475,walk
2.50071666666667,3.42716396903589,walk
2.5175,5.57705840957073,walk
2.53428333333333,7.00211118930331,walk
2.55106666666667,8.26882477128783,walk
2.56785,7.9521463757917,walk
2.58463333333333,6.95294354732998,walk
2.60141666666667,5.08499550112596,walk
2.6182,4.42904777668821,walk
2.63498333333333,4.74659431079674,walk
2.65176666666667,5.774248609148,walk
2.66855,7.06647210172365,walk
2.68533333333333,8.30858834912036,walk
2.70211666666667,7.76974215512709,walk
2.7189,6.18548203903404,walk
2.73568333333333,5.42172640359622,walk
2.75246666666667,4.12589082041121,walk
2.76925,2.60182817868369,walk
2.78603333333333,2.52990851513019,walk
2.80281666666667,4.48275862068966,walk
2.8196,6.69950738916256,walk
2.83638333333333,8.96903589021816,walk
2.85316666666667,11.0661505981703,walk
2.86995,12.1217452498241,walk
2.88673333333333,14.0554863855356,walk
2.90351666666667,12.472094408055,walk
2.9203,11.0998213609051,walk
2.938,9.56920911600715,walk
2.95478333333333,10.6281600173226,walk
2.97156666666667,8.37774048611487,walk
2.98835,12.3171114599686,walk
3.00513333333333,13.9532831700319,walk
3.02191666666667,15.800573810426,walk
3.0387,15.2166405023548,walk
3.05548333333333,15.3221999675202,walk
3.07226666666667,12.7551020408163,walk
3.08905,12.7551020408163,walk
3.10583333333333,13.5467980295567,walk
3.12261666666667,13.9162561576355,walk
3.1394,13.7579169598874,walk
3.15618333333333,14.3115357548855,walk
3.17296666666667,14.7595950847182,walk
3.18975,14.9965354842202,walk
3.20653333333333,15.1020949493856,walk
3.22331666666667,16.1049098684567,walk
3.2401,15.6568505386239,walk
3.25688333333333,14.2587560223028,walk
3.27366666666667,12.9392627077356,walk
3.29045,10.4058355437666,walk
3.30723333333333,7.48010368209292,walk
3.32401666666667,4.88714193234446,walk
3.3408,4.28300171096197,walk
3.35758333333333,2.66287089478266,walk
3.37436666666667,2.80485779401467,walk
3.39115,3.74409182420552,walk
3.40793333333333,4.54633373225415,walk
3.42471666666667,6.17987840815748,walk
3.4415,7.16665243334453,walk
3.45828333333333,8.95055737626053,walk
3.47506666666667,11.912911863403,walk
3.49185,13.9675303680162,walk
3.50863333333333,14.758458290478,walk
3.52541666666667,16.1049098684567,walk
3.5422,16.501326259947,walk
3.55898333333333,15.7848752232989,walk
3.57576666666667,16.6854869268662,walk
3.59255,15.3963081253722,walk
3.60933333333333,13.6594121417912,walk
3.62611666666667,12.0342485607413,walk
3.6429,10.2057832533771,walk
3.65968333333333,8.9345634929149,walk
3.67646666666667,6.55611927703226,walk
3.69325,8.90726308175764,walk
3.71003333333333,10.1629685347287,walk
3.72681666666667,10.7292133040103,walk
3.7436,10.0442267092513,walk
3.76038333333333,10.8887024305744,walk
3.77716666666667,7.4384236453202,walk
3.79395,4.83706993926373,walk
3.81073333333333,3.23407199850165,walk
3.82751666666667,1.73772122899711,walk
3.8443,1.14608156770747,walk
3.86108333333333,1.64420514397572,walk
3.87786666666667,2.21320816681395,walk
3.89465,2.42733029125583,walk
3.91143333333333,3.56937712829757,walk
3.92821666666667,3.41777005704775,walk
3.945,2.91964648077951,walk
3.96178333333333,3.19738232071295,walk
3.97856666666667,4.13706201296018,walk
3.99535,2.65814990038427,walk
